"u","Points:0","Points:1","Points:2"
0.036524,0,0,0
0.072395,0.056513,0,0.021893
0.092475,0.05761,-0.060606,0.035671
0.094547,-0.08932,-0,0.016922
0.099803,0.040571,0.060606,-0.054271
0.12006,0.049515,-0.10101,0.045139
0.1206,-0.10497,-0.060606,0.000255
0.1292,0.087931,-0.020202,-0.080946
0.11954,-0.010159,0.020202,0.11908
0.12594,-0.064072,0.060606,-0.083151
0.14005,0.066006,0.10101,0.01151
0.1743,0.04183,-0.13468,0.055392
0.16857,-0.11106,-0.10101,-0.020481
0.16838,0.11505,-0.06734,-0.072012
0.16373,-0.03939,-0.03367,0.14238
0.16475,-0.068852,-0,-0.13497
0.18011,0.13839,0.03367,0.051687
0.18002,-0.12583,0.06734,0.050872
0.19346,0.048611,0.10101,-0.10193
0.17716,0.02029,0.13468,0.066381
0.23888,0.03008,-0.16883,0.060408
0.21855,-0.10497,-0.14286,-0.040374
0.22282,0.12962,-0.11688,-0.050941
0.22159,-0.069156,-0.090909,0.14146
0.21853,-0.048062,-0.064935,-0.16288
0.23149,0.15212,-0.038961,0.091649
0.23112,-0.17776,-0.012987,0.03592
0.23585,0.10681,0.012987,-0.14656
0.23136,0.019822,0.038961,0.17649
0.23346,-0.12798,0.064935,-0.11164
0.24313,0.15741,0.090909,-0.003828
0.25056,-0.10038,0.11688,0.096544
0.24923,0.007106,0.14286,-0.11225
0.24074,0.042349,0.16883,0.05254
0.31175,0.018584,-0.20096,0.065317
0.28204,-0.097411,-0.17863,-0.059987
0.29416,0.14084,-0.1563,-0.027036
0.29295,-0.098149,-0.13397,0.13196
0.29086,-0.018388,-0.11164,-0.17943
0.29369,0.14375,-0.089314,0.12788
0.30067,-0.20124,-0.066986,0.002936
0.30152,0.15085,-0.044657,-0.14229
0.29848,-0.015375,-0.022329,0.21038
0.28824,-0.1315,-0,-0.16644
0.30381,0.20823,0.022329,0.033709
0.30242,-0.17333,0.044657,0.11384
0.31115,0.049409,0.066986,-0.19511
0.30815,0.09116,0.089314,0.16943
0.30755,-0.1703,0.11164,-0.059394
0.31677,0.15109,0.13397,-0.064961
0.31741,-0.058882,0.1563,0.13076
0.31801,-0.035827,0.17863,-0.10864
0.31303,0.059247,0.20096,0.03319
0.39124,0.006263,-0.23273,0.067589
0.35713,-0.085282,-0.21333,-0.077366
0.37932,0.14545,-0.19394,-0.000707
0.37115,-0.1235,-0.17455,0.11424
0.38014,0.015383,-0.15515,-0.18564
0.36949,0.12298,-0.13576,0.1588
0.37686,-0.2096,-0.11636,-0.036025
0.37795,0.18689,-0.09697,-0.12016
0.37564,-0.058546,-0.077576,0.22209
0.36339,-0.10948,-0.058182,-0.20832
0.378,0.22518,-0.038788,0.080996
0.37727,-0.22291,-0.019394,0.093287
0.38013,0.10168,-0,-0.22007
0.37988,0.073441,0.019394,0.23022
0.37772,-0.20763,0.038788,-0.11898
0.38576,0.2296,0.058182,-0.051649
0.38189,-0.13118,0.077576,0.18853
0.3904,-0.029624,0.09697,-0.2202
0.38674,0.16328,0.11636,0.13626
0.39092,-0.20063,0.13576,0.009274
0.39221,0.13139,0.15515,-0.13203
0.39521,-0.006954,0.17455,0.16809
0.40102,-0.093736,0.19394,-0.11122
0.39317,0.11419,0.21333,0.014799
0.38811,-0.05553,0.23273,0.039038
0.47819,-0.006242,-0.26421,0.067358
0.43936,-0.069703,-0.24716,-0.091837
0.4672,0.14402,-0.23011,0.026198
0.45358,-0.14409,-0.21307,0.090674
0.46902,0.050116,-0.19602,-0.18288
0.45523,0.093958,-0.17898,0.18308
0.45376,-0.20576,-0.16193,-0.076281
0.46907,0.214,-0.14489,-0.087122
0.46466,-0.10317,-0.12784,0.2177
0.44697,-0.073427,-0.11079,-0.23814
0.45513,0.22096,-0.09375,0.12949
0.46706,-0.25588,-0.076705,0.054953
0.46413,0.15411,-0.059659,-0.21696
0.47093,0.033319,-0.042614,0.26731
0.46731,-0.20677,-0.025568,-0.17599
0.46725,0.27241,-0.008523,-0.009939
0.4657,-0.19415,0.008523,0.19134
0.46827,0.013861,0.025568,-0.27117
0.46399,0.17158,0.042614,0.20766
0.47376,-0.26357,0.059659,-0.036769
0.48431,0.21556,0.076705,-0.14843
0.48084,-0.057425,0.09375,0.24959
0.4812,-0.12285,0.11079,-0.21682
0.4775,0.22915,0.12784,0.074336
0.47906,-0.21022,0.14489,0.09589
0.4835,0.085704,0.16193,-0.20202
0.478,0.068706,0.17898,0.19398
0.48289,-0.16742,0.19602,-0.089032
0.48915,0.16483,0.21307,-0.042592
0.48287,-0.079767,0.23011,0.12274
0.4859,-0.018975,0.24716,-0.11372
0.48547,0.053281,0.26421,0.04168
0.56887,-0.018659,-0.29526,0.065579
0.52376,-0.052204,-0.27972,-0.1042
0.56135,0.13868,-0.26418,0.052951
0.54165,-0.16106,-0.24864,0.063751
0.56265,0.084618,-0.2331,-0.17416
0.54706,0.060188,-0.21756,0.20217
0.54969,-0.19375,-0.20202,-0.11609
0.55779,0.23401,-0.18648,-0.047879
0.55759,-0.14688,-0.17094,0.20257
0.54765,-0.029665,-0.1554,-0.25845
0.54271,0.20301,-0.13986,0.17622
0.55253,-0.27626,-0.12432,0.00739
0.55776,0.20337,-0.10878,-0.19656
0.55972,-0.017518,-0.09324,0.2878
0.55014,-0.18436,-0.0777,-0.2276
0.5507,0.29333,-0.06216,0.043832
0.54419,-0.24825,-0.04662,0.16741
0.55174,0.070441,-0.03108,-0.29309
0.55371,0.14662,-0.01554,0.26474
0.55031,-0.28732,-0,-0.096303
0.56334,0.27655,0.01554,-0.12291
0.56424,-0.12042,0.03108,0.27634
0.56221,-0.09722,0.04662,-0.2832
0.56458,0.2605,0.06216,0.1418
0.56912,-0.28428,0.0777,0.070518
0.5784,0.15946,0.09324,-0.24022
0.58121,0.043834,0.10878,0.27942
0.57977,-0.216,0.12432,-0.17238
0.58148,0.2682,0.13986,-0.018285
0.5729,-0.17943,0.1554,0.18837
0.57418,0.00487,0.17094,-0.25017
0.56796,0.15789,0.18648,0.17923
0.57328,-0.22457,0.20202,-0.024122
0.57803,0.16987,0.21756,-0.12506
0.56927,-0.037431,0.2331,0.18997
0.58643,-0.09011,0.24864,-0.14794
0.5721,0.14258,0.26418,0.04132
0.56882,-0.10446,0.27972,0.051695
0.57675,0.024631,0.29526,-0.063577
0.66072,-0.03017,-0.32639,0.06059
0.61302,-0.032015,-0.3125,-0.11149
0.65746,0.12632,-0.29861,0.077367
0.63322,-0.17015,-0.28472,0.033092
0.65918,0.11559,-0.27083,-0.1562
0.64276,0.022161,-0.25694,0.21119
0.64946,-0.1708,-0.24306,-0.1512
0.65261,0.24203,-0.22917,-0.004119
0.65112,-0.1847,-0.21528,0.17508
0.64011,0.018716,-0.20139,-0.26496
0.64132,0.17138,-0.1875,0.21583
0.63882,-0.28101,-0.17361,-0.044789
0.63844,0.24415,-0.15972,-0.16121
0.64599,-0.072877,-0.14583,0.29074
0.64157,-0.14569,-0.13194,-0.26921
0.6476,0.29459,-0.11806,0.10194
0.64155,-0.29059,-0.10417,0.12578
0.6411,0.13104,-0.090278,-0.2929
0.6441,0.10236,-0.076389,0.30789
0.63652,-0.28604,-0.0625,-0.15933
0.63951,0.32083,-0.048611,-0.076279
0.64246,-0.18602,-0.034722,0.27441
0.64226,-0.048361,-0.020833,-0.32915
0.64084,0.25845,-0.006944,0.2104
0.63903,-0.33269,0.006944,0.019434
0.65031,0.23179,0.020833,-0.23865
0.67346,-0.009676,0.034722,0.33138
0.66183,-0.21556,0.048611,-0.24956
0.66252,0.32519,0.0625,0.038132
0.66848,-0.26315,0.076389,0.18982
0.67703,0.065089,0.090278,-0.3142
0.65902,0.16208,0.10417,0.27201
0.67213,-0.29855,0.11806,-0.089677
0.68282,0.27566,0.13194,-0.1331
0.66849,-0.111,0.14583,0.27843
0.67023,-0.10369,0.15972,-0.27358
0.67035,0.2541,0.17361,0.12808
0.67364,-0.26526,0.1875,0.074772
0.68287,0.13983,0.20139,-0.22583
0.65986,0.047367,0.21528,0.25005
0.66971,-0.19387,0.22917,-0.14494
0.68032,0.22698,0.24306,-0.0227
0.67976,-0.14153,0.25694,0.15831
0.68051,-0.002359,0.27083,-0.19431
0.6733,0.11863,0.28472,0.12638
0.67078,-0.14771,0.29861,-0.011158
0.68061,0.09119,0.3125,-0.071688
0.66376,-0.01098,0.32639,0.06679
0.74907,-0.040868,-0.35726,0.054118
0.70033,-0.011023,-0.3445,-0.11589
0.75347,0.11055,-0.33174,0.099799
0.72899,-0.17459,-0.31898,0.001273
0.75623,0.14364,-0.30622,-0.13352
0.73542,-0.017213,-0.29346,0.21405
0.72934,-0.14198,-0.2807,-0.18242
0.74413,0.24239,-0.26794,0.041054
0.73618,-0.21757,-0.25518,0.14064
0.72036,0.068452,-0.24242,-0.26225
0.74109,0.13177,-0.22966,0.24925
0.73613,-0.27487,-0.21691,-0.098118
0.74295,0.27731,-0.20415,-0.11684
0.7302,-0.12901,-0.19139,0.281
0.73571,-0.096996,-0.17863,-0.30152
0.74282,0.28116,-0.16587,0.16021
0.72982,-0.32161,-0.15311,0.073169
0.73812,0.19093,-0.14035,-0.27583
0.74166,0.046222,-0.12759,0.33737
0.73437,-0.26544,-0.11483,-0.22042
0.73694,0.3486,-0.10207,-0.016964
0.72928,-0.24804,-0.089314,0.25046
0.72393,0.01383,-0.076555,-0.35522
0.73124,0.23137,-0.063796,0.27318
0.72773,-0.35716,-0.051037,-0.045406
0.73309,0.29532,-0.038278,-0.20869
0.74733,-0.077031,-0.025518,0.35447
0.73553,-0.18298,-0.012759,-0.31399
0.73914,0.34723,-0,0.10799
0.73792,-0.32878,0.012759,0.15483
0.7451,0.1376,0.025518,-0.33563
0.74143,0.12487,0.038278,0.33937
0.74168,-0.31991,0.051037,-0.16517
0.75458,0.3455,0.063796,-0.093772
0.75314,-0.19007,0.076555,0.3004
0.76285,-0.062237,0.089314,-0.34696
0.76503,0.27749,0.10207,0.21169
0.76313,-0.34363,0.11483,0.030994
0.77839,0.22941,0.12759,-0.25164
0.76431,0.00081,0.14035,0.33546
0.75979,-0.22339,0.15311,-0.24267
0.75057,0.32243,0.16587,0.027513
0.75333,-0.2509,0.17863,0.19332
0.76118,0.053121,0.19139,-0.3046
0.75143,0.16213,0.20415,0.25352
0.75456,-0.28204,0.21691,-0.075088
0.77792,0.24988,0.22966,-0.13055
0.76462,-0.092362,0.24242,0.25482
0.78216,-0.099425,0.25518,-0.23922
0.77682,0.22292,0.26794,0.10366
0.77549,-0.2204,0.2807,0.069717
0.78017,0.10722,0.29346,-0.18605
0.76454,0.042572,0.30622,0.19144
0.77906,-0.14307,0.31898,-0.10007
0.76295,0.14765,0.33174,-0.019496
0.75236,-0.074809,0.3445,0.089199
0.76558,-0.002966,0.35726,-0.067751
0.83014,-0.050111,-0.38806,0.045682
0.78149,0.010473,-0.3763,-0.11609
0.83934,0.090567,-0.36454,0.11873
0.8185,-0.17255,-0.35278,-0.030955
0.84536,0.16666,-0.34102,-0.10544
0.81459,-0.056653,-0.32926,0.20872
0.8169,-0.10698,-0.3175,-0.20721
0.82815,0.23313,-0.30574,0.085782
0.81707,-0.24263,-0.29399,0.099464
0.80249,0.1171,-0.28223,-0.24865
0.83228,0.085056,-0.27047,0.2735
0.82776,-0.25668,-0.25871,-0.14958
0.83729,0.29993,-0.24695,-0.065175
0.82468,-0.18239,-0.23519,0.25809
0.80247,-0.040913,-0.22343,-0.32186
0.82202,0.25353,-0.21167,0.21473
0.80032,-0.33919,-0.19991,0.013201
0.81875,0.24592,-0.18815,-0.24354
0.82734,-0.017126,-0.17639,0.35183
0.8238,-0.22863,-0.16463,-0.27534
0.82413,0.35971,-0.15287,0.049289
0.81929,-0.30242,-0.14111,0.20933
0.81863,0.082551,-0.12935,-0.36282
0.82732,0.18614,-0.11759,0.32667
0.82002,-0.36122,-0.10583,-0.11621
0.82234,0.34766,-0.094075,-0.1596
0.8212,-0.14959,-0.082316,0.35501
0.81011,-0.13029,-0.070556,-0.36501
0.81543,0.34436,-0.058797,0.18206
0.81686,-0.37844,-0.047038,0.098773
0.81718,0.213,-0.035278,-0.3295
0.84003,0.065663,-0.023519,0.38772
0.82244,-0.31073,-0.011759,-0.24186
0.82511,0.39267,-0,-0.031571
0.819,-0.2681,0.011759,0.2884
0.81864,0.002874,0.023519,-0.39323
0.82126,0.26291,0.035278,0.29124
0.82431,-0.38936,0.047038,-0.037041
0.82408,0.31085,0.058797,-0.23474
0.80584,-0.070295,0.070556,0.38114
0.81382,-0.20439,0.082316,-0.32655
0.81936,0.36869,0.094075,0.10201
0.82489,-0.33802,0.10583,0.17243
0.8342,0.13155,0.11759,-0.35221
0.8314,0.13946,0.12935,0.34497
0.85113,-0.33198,0.14111,-0.15832
0.86118,0.34721,0.15287,-0.10612
0.84987,-0.18171,0.16463,0.30833
0.8487,-0.073117,0.17639,-0.34457
0.84123,0.28167,0.18815,0.20112
0.84489,-0.33694,0.19991,0.041161
0.85727,0.21596,0.21167,-0.25248
0.84467,0.011036,0.22343,0.32426
0.85267,-0.22128,0.23519,-0.22564
0.85708,0.30649,0.24695,0.016418
0.84404,-0.22948,0.25871,0.18867
0.85367,0.040267,0.27047,-0.28357
0.85249,0.15532,0.28223,0.22675
0.85891,-0.2554,0.29399,-0.059422
0.85443,0.21643,0.30574,-0.12193
0.85067,-0.072498,0.3175,0.22164
0.86586,-0.089273,0.32926,-0.19699
0.86008,0.18136,0.34102,0.077463
0.84969,-0.16539,0.35278,0.058127
0.87103,0.070435,0.36454,-0.13167
0.86229,0.028885,0.3763,0.11293
0.85874,-0.056765,0.38806,-0.037089
0.89653,-0.057573,-0.4188,0.035647
0.84628,0.031616,-0.40793,-0.11216
0.91505,0.067265,-0.39705,0.13346
0.89189,-0.16425,-0.38617,-0.062258
0.92434,0.18377,-0.37529,-0.073256
0.88594,-0.094453,-0.36441,0.19561
0.88927,-0.06746,-0.35353,-0.2246
0.89293,0.21488,-0.34266,0.12804
0.88564,-0.2589,-0.33178,0.053627
0.86765,0.16234,-0.3209,-0.22505
0.91298,0.033723,-0.31002,0.28763
0.9136,-0.22765,-0.29915,-0.19665
0.92064,0.31113,-0.28827,-0.009079
0.90245,-0.23027,-0.27739,0.22364
0.887,0.019254,-0.26651,-0.32952
0.89446,0.21375,-0.25563,0.26257
0.88796,-0.34284,-0.24475,-0.050379
0.88378,0.29298,-0.23388,-0.19861
0.89178,-0.083486,-0.223,0.35112
0.89372,-0.17878,-0.21212,-0.32097
0.89432,0.3544,-0.20124,0.11783
0.89152,-0.34608,-0.19037,0.15482
0.90586,0.1527,-0.17949,-0.35277
0.89174,0.1273,-0.16861,0.3679
0.88662,-0.34636,-0.15773,-0.18745
0.89001,0.38607,-0.14685,-0.096764
0.89887,-0.22143,-0.13598,0.33535
0.8861,-0.0638,-0.1251,-0.40033
0.89586,0.31997,-0.11422,0.25408
0.88868,-0.41044,-0.10334,0.028986
0.88193,0.28484,-0.092463,-0.30049
0.89942,-0.007091,-0.081585,0.41626
0.87357,-0.27727,-0.070707,-0.31322
0.88914,0.41771,-0.059829,0.04384
0.88648,-0.33875,-0.048951,0.25067
0.91891,0.080674,-0.038073,-0.41476
0.90465,0.22112,-0.027195,0.36104
0.90121,-0.40746,-0.016317,-0.11701
0.89961,0.37974,-0.005439,-0.18908
0.89515,-0.15229,0.005439,0.39593
0.8879,-0.15506,0.016317,-0.39456
0.88859,0.38035,0.027195,0.18595
0.8879,-0.40526,0.038073,0.11957
0.89167,0.21748,0.048951,-0.36096
0.86655,0.083182,0.059829,0.41168
0.87852,-0.33806,0.070707,-0.24638
0.87519,0.41372,0.081585,-0.046462
0.88249,-0.27218,0.092463,0.31201
0.88416,-0.009996,0.10334,-0.41134
0.88233,0.28323,0.11422,0.29448
0.87338,-0.40457,0.1251,-0.02562
0.88645,0.31288,0.13598,-0.25218
0.89342,-0.059785,0.14685,0.3935
0.9008,-0.21939,0.15773,-0.32706
0.8871,0.3783,0.16861,0.0919
0.90687,-0.33673,0.17949,0.18541
0.92923,0.12137,0.19037,-0.35918
0.92138,0.15085,0.20124,0.34165
0.93024,-0.33646,0.21212,-0.14759
0.93034,0.34164,0.223,-0.11635
0.90206,-0.16998,0.23388,0.31047
0.92442,-0.082604,0.24475,-0.33653
0.91908,0.28163,0.25563,0.18794
0.92102,-0.32622,0.26651,0.050359
0.92253,0.20084,0.27739,-0.2504
0.91555,0.020412,0.28827,0.31059
0.92513,-0.21731,0.29915,-0.20801
0.91748,0.28953,0.31002,0.006345
0.90505,-0.20867,0.3209,0.18292
0.91615,0.02888,0.33178,-0.26281
0.91981,0.14781,0.34266,0.20179
0.9449,-0.22997,0.35353,-0.045897
0.94958,0.18579,0.36441,-0.11254
0.9458,-0.055532,0.37529,0.18988
0.93846,-0.077526,0.38617,-0.15762
0.93498,0.13922,0.39705,0.05433
0.91177,-0.10866,0.40793,0.042091
0.91604,0.030038,0.4188,-0.060688
0.94452,-0.063359,-0.44944,0.024545
0.89471,0.051906,-0.43922,-0.10488
0.96099,0.041809,-0.42901,0.14427
0.94757,-0.15091,-0.41879,-0.091922
0.97685,0.19543,-0.40858,-0.038502
0.93954,-0.12978,-0.39837,0.17627
0.94978,-0.025258,-0.38815,-0.23519
0.9459,0.1895,-0.37794,0.16693
0.94065,-0.26714,-0.36772,0.005196
0.92475,0.20326,-0.35751,-0.19361
0.95758,-0.019952,-0.34729,0.29258
0.97256,-0.19021,-0.33708,-0.23835
0.99408,0.31205,-0.32686,0.048959
0.95985,-0.2717,-0.31665,0.18035
0.94898,0.080833,-0.30643,-0.32585
0.9489,0.16483,-0.29622,0.30281
0.94375,-0.33415,-0.28601,-0.11472
0.93509,0.33124,-0.27579,-0.14433
0.94541,-0.14983,-0.26558,0.33709
0.94139,-0.1195,-0.25536,-0.35654
0.94636,0.33485,-0.24515,0.18545
0.93757,-0.37835,-0.23493,0.090928
0.94186,0.22091,-0.22472,-0.32758
0.94037,0.05922,-0.21451,0.39635
0.9196,-0.31552,-0.20429,-0.25559
0.94191,0.41027,-0.19408,-0.024967
0.94171,-0.2889,-0.18386,0.2989
0.95446,0.011239,-0.17365,-0.41992
0.94678,0.27804,-0.16343,0.32031
0.95676,-0.42515,-0.15322,-0.048806
0.94244,0.34931,-0.143,-0.25326
0.93925,-0.087146,-0.13279,0.42589
0.93842,-0.22496,-0.12257,-0.37547
0.94155,0.42213,-0.11236,0.12568
0.93447,-0.39839,-0.10215,0.19355
0.93203,0.16384,-0.091931,-0.4139
0.94522,0.15949,-0.081716,0.41773
0.94317,-0.40134,-0.071502,-0.20107
0.93738,0.4332,-0.061287,-0.12325
0.9407,-0.23684,-0.051073,0.38459
0.93523,-0.08534,-0.040858,-0.44459
